Ticker,fiscalDateEnding,INCOME_STATEMENT_reportedCurrency,INCOME_STATEMENT_grossProfit,INCOME_STATEMENT_totalRevenue,INCOME_STATEMENT_costOfRevenue,INCOME_STATEMENT_costofGoodsAndServicesSold,INCOME_STATEMENT_operatingIncome,INCOME_STATEMENT_sellingGeneralAndAdministrative,INCOME_STATEMENT_researchAndDevelopment,INCOME_STATEMENT_operatingExpenses,INCOME_STATEMENT_investmentIncomeNet,INCOME_STATEMENT_netInterestIncome,INCOME_STATEMENT_interestIncome,INCOME_STATEMENT_interestExpense,INCOME_STATEMENT_nonInterestIncome,INCOME_STATEMENT_otherNonOperatingIncome,INCOME_STATEMENT_depreciation,INCOME_STATEMENT_depreciationAndAmortization,INCOME_STATEMENT_incomeBeforeTax,INCOME_STATEMENT_incomeTaxExpense,INCOME_STATEMENT_interestAndDebtExpense,INCOME_STATEMENT_netIncomeFromContinuingOperations,INCOME_STATEMENT_comprehensiveIncomeNetOfTax,INCOME_STATEMENT_ebit,INCOME_STATEMENT_ebitda,INCOME_STATEMENT_netIncome,BALANCE_SHEET_reportedCurrency,BALANCE_SHEET_totalAssets,BALANCE_SHEET_totalCurrentAssets,BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,BALANCE_SHEET_cashAndShortTermInvestments,BALANCE_SHEET_inventory,BALANCE_SHEET_currentNetReceivables,BALANCE_SHEET_totalNonCurrentAssets,BALANCE_SHEET_propertyPlantEquipment,BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,BALANCE_SHEET_intangibleAssets,BALANCE_SHEET_intangibleAssetsExcludingGoodwill,BALANCE_SHEET_goodwill,BALANCE_SHEET_investments,BALANCE_SHEET_longTermInvestments,BALANCE_SHEET_shortTermInvestments,BALANCE_SHEET_otherCurrentAssets,BALANCE_SHEET_otherNonCurrentAssets,BALANCE_SHEET_totalLiabilities,BALANCE_SHEET_totalCurrentLiabilities,BALANCE_SHEET_currentAccountsPayable,BALANCE_SHEET_deferredRevenue,BALANCE_SHEET_currentDebt,BALANCE_SHEET_shortTermDebt,BALANCE_SHEET_totalNonCurrentLiabilities,BALANCE_SHEET_capitalLeaseObligations,BALANCE_SHEET_longTermDebt,BALANCE_SHEET_currentLongTermDebt,BALANCE_SHEET_longTermDebtNoncurrent,BALANCE_SHEET_shortLongTermDebtTotal,BALANCE_SHEET_otherCurrentLiabilities,BALANCE_SHEET_otherNonCurrentLiabilities,BALANCE_SHEET_totalShareholderEquity,BALANCE_SHEET_treasuryStock,BALANCE_SHEET_retainedEarnings,BALANCE_SHEET_commonStock,BALANCE_SHEET_commonStockSharesOutstanding,CASH_FLOW_reportedCurrency,CASH_FLOW_operatingCashflow,CASH_FLOW_paymentsForOperatingActivities,CASH_FLOW_proceedsFromOperatingActivities,CASH_FLOW_changeInOperatingLiabilities,CASH_FLOW_changeInOperatingAssets,CASH_FLOW_depreciationDepletionAndAmortization,CASH_FLOW_capitalExpenditures,CASH_FLOW_changeInReceivables,CASH_FLOW_changeInInventory,CASH_FLOW_profitLoss,CASH_FLOW_cashflowFromInvestment,CASH_FLOW_cashflowFromFinancing,CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,CASH_FLOW_paymentsForRepurchaseOfCommonStock,CASH_FLOW_paymentsForRepurchaseOfEquity,CASH_FLOW_paymentsForRepurchaseOfPreferredStock,CASH_FLOW_dividendPayout,CASH_FLOW_dividendPayoutCommonStock,CASH_FLOW_dividendPayoutPreferredStock,CASH_FLOW_proceedsFromIssuanceOfCommonStock,CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,CASH_FLOW_proceedsFromIssuanceOfPreferredStock,CASH_FLOW_proceedsFromRepurchaseOfEquity,CASH_FLOW_proceedsFromSaleOfTreasuryStock,CASH_FLOW_changeInCashAndCashEquivalents,CASH_FLOW_changeInExchangeRate,CASH_FLOW_netIncome,observation_date,GDP,Money_Supply,Money_Supply,Money_Supply,Money_Supply,Interest_Rate,PPI,Real_Dollar_Index,CPI,Unemployment_Rate
T,2022-06-30,USD,15522000000,29643000000,14121000000,12341000000,4956000000,7265000000,,7314000000,,-1502000000,1194000000.0,1502000000,-41000000.0,2302000000,,49000000,5666000000,1509000000,1502000000,4319000000,3174000000,7168000000,7217000000,4157000000,USD,426433000000,34485000000,4018000000,4018000000,3241000000,11377000000,266911000000,125135000000,,221674000000,128928000000,92746000000,5721000000,4523000000,83000000.0,15849000000,18808000000,316944000000,49189000000,,3829000000.0,6210000000,2860000000,241937000000,1542000000,133097000000,6829000000,,135957000000,3603000000,28365000000,117746000000,17160000000,2128000000,7621000000,7169000000,USD,8987000000,-3667000000.0,,-672000000,-4792000000,4450000000,4908000000,-428000000,-126000000.0,4537000000,-3788000000,-32523000000,-9100000000,675000000,675000000,,2086000000,2086000000,,,0,0.0,-673000000,2000000,-68737000000.0,,4157000000,2022-06-30,0.27053623889152884,0.9106798888913672,0.8244252609249578,0.9106798888913672,0.8244252609249578,-0.5787582764691915,1.6619110904869285,0.021402314331830864,0.5180081480299389,-0.5215413816111534
T,2022-03-31,USD,21484000000,29712000000,16621000000,12735000000,5537000000,6978000000,,9875000000,,-1722000000,-96000000.0,1626000000,-7000000.0,2157000000,,47000000,6250000000,1440000000,1722000000,4747000000,4571000000,7876000000,7923000000,4810000000,USD,577195000000,76856000000,17084000000,38565000000,3153000000,17218000000,320191000000,127159000000,,258806000000,125559000000,133247000000,7228000000,5943000000,21481000000.0,17920000000,22291000000,420433000000,82494000000,,5586000000.0,27333000000,8069000000,308145000000,1509000000,180225000000,28380000000,,8069000000,5183000000,29746000000,169036000000,16553000000,45041000000,7621000000,7184000000,USD,5732000000,6001000000.0,,-4968000000,3489000000,4462000000,4568000000,-864000000,4031000000.0,5164000000,-12651000000,24251000000,1471000000,197000000,197000000,,3749000000,3749000000,,,30296000000,0.0,-171000000,26000000,17332000000.0,,4810000000,2022-03-31,0.07732925972842776,0.8801048287802438,0.8087101635784435,0.8801048287802438,0.8087101635784435,-1.055112906119487,0.9492134399045892,-0.3957972470466594,0.1848238927751541,-0.4292443613502706
T,2021-12-31,USD,31095000000,31095000000,21775000000,19795000000,4894000000,7368000000,1325000000.0,14722000000,,-1663000000,-37000000.0,1626000000,-3000000.0,2429000000,,4346000000,5982000000,939000000,1663000000,4802000000,6229000000,7608000000,11954000000,5043000000,USD,551622000000,170768000000,19223000000,21169000000,3464000000,17571000000,377469000000,121649000000,,323073000000,189850000000,92740000000,8658000000,7274000000,1946000000.0,16131000000,19252000000,412340000000,106230000000,29511000000.0,5644000000.0,24620000000,16686000000,282179000000,1442000000,167476000000,7807000000,,184162000000,3966000000,25243000000,166332000000,17280000000,42350000000,7621000000,7171000000,USD,11254000000,8931000000.0,,2912000000,5235000000,4500000000,3494000000,1024000000,,5390000000,-4756000000,-6587000000,4000000,11000000,11000000,,3749000000,3749000000,,,0,0.0,56000000,7000000,-1485000000.0,,5043000000,2021-12-31,-0.06617773609572862,0.7615204476887475,0.7555131946240535,0.7615204476887475,0.7555131946240535,-1.1117094957809084,0.2914903919095403,-0.7279644685899896,-0.1070025798418238,-0.2446503208285047
T,2021-09-30,USD,23007000000,31326000000,16915000000,13433000000,6237000000,7094000000,,9266000000,,-1667000000,-40000000.0,1627000000,-2000000.0,1522000000,,59000000,7214000000,1296000000,1667000000,4613000000,5142000000,8841000000,8900000000,5918000000,USD,547107000000,57230000000,18485000000,21270000000,3088000000,16304000000,313275000000,124419000000,,258424000000,124761000000,133663000000,10055000000,8629000000,2785000000.0,16568000000,21748000000,395980000000,81601000000,,5385000000.0,23755000000,6576000000,284203000000,1574000000,179161000000,24935000000,,185737000000,4991000000,29466000000,163771000000,17319000000,41091000000,7621000000,7171000000,USD,9866000000,1245000000.0,,1073000000,6301000000,4457000000,4470000000,897000000,,6273000000,3298000000,-3735000000,-2000000,6000000,6000000,,3748000000,3748000000,,,834000000,0.0,-2000000,4000000,16699000000.0,,5918000000,2021-09-30,-0.3460372107907515,0.5663974418805009,0.6712070748447978,0.5663974418805009,0.6712070748447978,-1.1117094957809084,0.09215903339315717,-1.0087172654422838,-0.4077227281743458,0.170686270345468
T,2021-06-30,USD,26459000000,35740000000,17586000000,16158000000,7572000000,7581000000,,9431000000,,-1684000000,-44000000.0,1640000000,,1206000000,,70000000,2721000000,1151000000,1684000000,5526000000,490000000,4361000000,4431000000,1570000000,USD,544710000000,62869000000,11869000000,11869000000,2810000000,15771000000,306929000000,123591000000,,235324000000,100698000000,134626000000,3273000000,1853000000,51000000.0,32419000000,21598000000,395084000000,82126000000,,6431000000.0,24016000000,6571000000,282738000000,1606000000,179783000000,24016000000,,186354000000,4932000000,28726000000,162296000000,17332000000,38947000000,7621000000,7168000000,USD,10910000000,1255000000.0,,-2163000000,2803000000,4429000000,3548000000,-45000000,,1874000000,-3779000000,-6583000000,-513000000,9000000,9000000,,3830000000,3830000000,,,0,0.0,13000000,22000000,12006000000.0,,1570000000,2021-06-30,-0.5270783362938625,0.4021322246124108,0.5979769685171193,0.4021322246124108,0.5979769685171193,-1.1117094957809084,-0.1465455510633877,-1.3063201678655911,-0.5493205602563276,0.4937258412585582
T,2021-03-31,USD,26495000000,35877000000,17444000000,21087000000,7194000000,9382000000,,9772000000,,-1870000000,1818000000.0,1870000000,,4221000000,,69000000,9672000000,2122000000,1870000000,7143000000,7419000000,11542000000,11611000000,7550000000,USD,546985000000,62754000000,11342000000,11342000000,3347000000,16971000000,307705000000,124607000000,,236499000000,101331000000,135168000000,3209000000,1805000000,33000000.0,31094000000,21496000000,372499000000,76608000000,,10356000000.0,19505000000,7078000000,265532000000,1747000000,180199000000,3564000000,,187277000000,5029000000,28229000000,165488000000,17342000000,41154000000,7621000000,7161000000,USD,9927000000,1254000000.0,,-4034000000,2767000000,5809000000,4033000000,-751000000,-2328000000.0,7942000000,-26852000000,18483000000,23244000000,176000000,176000000,,3741000000,3741000000,,,9097000000,0.0,-113000000,63000000,1558000000.0,,7550000000,2021-03-31,-0.7601403509283045,0.052074039694157775,0.4467010978393373,0.052074039694157775,0.4467010978393373,-1.1164258782526937,-0.6360695587272973,-1.721647495291746,-0.8061856869570243,0.6783198817803241
T,2020-12-31,USD,11027000000,16981000000,34664000000,22910000000,-8778000000,2960000000,1210000000.0,26949000000,,-1894000000,-198000000.0,1696000000,-1000000.0,-2677000000,,8310000000,-15718000000,-1835000000,1894000000,-12879000000,-10202000000,-14022000000,-5712000000,-13883000000,USD,525761000000,52008000000,7924000000,9740000000,3592000000,20215000000,373263000000,121104000000,,322833000000,187574000000,92812000000,3259000000,1780000000,1816000000.0,18358000000,23617000000,370100000000,63438000000,31836000000.0,12950000000.0,3470000000,0,260881000000,1847000000,155209000000,3281000000,,155209000000,6176000000,28358000000,161673000000,17910000000,37457000000,7621000000,7148000000,USD,10082000000,1201000000.0,,2748000000,5339000000,986000000,1407000000,1242000000,-5234000000.0,-13515000000,178000000,-10239000000,-1757000000,15000000,15000000,,3741000000,3741000000,,,1000000,0.0,67000000,17000000,21000000.0,,-13883000000,2020-12-31,-0.9526030429990517,-0.1894164284754771,0.3328268378023911,-0.1894164284754771,0.3328268378023911,-1.1069931133091233,-1.1467240990961236,-0.8904990644520114,-0.9289446985577992,0.9090624324325313
T,2020-09-30,USD,24550000000,42340000000,17790000000,19839000000,6132000000,9266000000,,9415000000,,-1972000000,1903000000.0,1972000000,0.0,-231000000,,76000000,3582000000,766000000,1972000000,3168000000,3336000000,5554000000,5630000000,2816000000,USD,538553000000,49971000000,9758000000,9758000000,13948000000,19379000000,308177000000,128722000000,,259608000000,115920000000,143688000000,3849000000,2325000000,62000000.0,19414000000,21609000000,352842000000,59565000000,,12379000000.0,5898000000,1754000000,261876000000,1732000000,158878000000,3483000000,,160632000000,5862000000,30520000000,175553000000,17950000000,55094000000,7621000000,7147000000,USD,12123000000,1227000000.0,,-1808000000,2445000000,7030000000,3851000000,201000000,-7836000000.0,3168000000,-3448000000,-15857000000,-1250000000,3000000,3000000,,3741000000,3741000000,,,10927000000,0.0,1000000,4000000,13761000000.0,,2816000000,2020-09-30,-1.0783581043341868,-0.4279988328036323,0.21819812467526425,-0.4279988328036323,0.21819812467526425,-1.1069931133091233,-1.3228118716370982,-0.42573241628453756,-1.0186700575008363,1.693587104650036
T,2020-06-30,USD,20611000000,40950000000,20339000000,17983000000,3532000000,9831000000,,12223000000,,-2041000000,2051000000.0,2041000000,9000000.0,1017000000,,73000000,2216000000,935000000,2041000000,1563000000,1795000000,4257000000,4330000000,1281000000,USD,547898000000,56555000000,16941000000,16941000000,14514000000,19127000000,438455000000,128945000000,203938000000.0,260866000000,117215000000,143651000000,3824000000,2302000000,64000000.0,19048000000,21563000000,363642000000,69469000000,,12149000000.0,15576000000,3001000000,262746000000,1683000000,168964000000,15576000000,,171965000000,5723000000,32804000000,175896000000,17945000000,56045000000,7621000000,7145000000,USD,12059000000,1207000000.0,,-710000000,1498000000,7285000000,4466000000,-827000000,,1563000000,-5256000000,188000000,-169000000,17000000,17000000,,3737000000,3737000000,,,16703000000,0.0,9000000,26000000,8848000000.0,,1281000000,2020-06-30,-1.650846126870244,-0.6355214997137488,0.11332914514025284,-0.6355214997137488,0.11332914514025284,-1.1117094957809084,-1.4742473560223368,0.382229117145516,-1.1481321842960897,3.908715590911224
T,2020-03-31,USD,25647000000,42779000000,17132000000,19188000000,7486000000,8760000000,,9570000000,,-2018000000,2194000000.0,2018000000,-33000000.0,803000000,,67000000,5912000000,1302000000,2018000000,4963000000,-1245000000,7930000000,7997000000,4610000000,USD,545354000000,52704000000,9955000000,9955000000,-14000000,19908000000,441272000000,128921000000,200266000000.0,261831000000,116285000000,145546000000,5120000000,3606000000,78000000.0,21241000000,22829000000,359308000000,69704000000,,12526000000.0,17067000000,3144000000,258617000000,1581000000,147202000000,17067000000,,3144000000,5960000000,34600000000,177779000000,17957000000,58534000000,7621000000,7187000000,USD,8866000000,1217000000.0,,-4632000000,1572000000,7222000000,4966000000,-1695000000,-2732000000.0,4963000000,-5022000000,-6099000000,3132000000,5463000000,5463000000,,3737000000,3737000000,,,4357000000,3869000000.0,-1536000000,58000000,-2255000000.0,,4610000000,2020-03-31,-1.064249379882544,-1.610773020774801,-1.8556168461018991,-1.610773020774801,-1.8556168461018991,-0.8428756948891575,-1.4073340024567662,-1.0267400889834415,-1.1028313927203548,-0.5676898917415949
T,2019-12-31,USD,46821000000,46821000000,26791000000,22736000000,5321000000,10345000000,1276000000.0,19065000000,,-2049000000,2008000000.0,2049000000,-1000000.0,-104000000,,8000000000,2828000000,434000000,2049000000,5321000000,5727000000,4877000000,12877000000,2394000000,USD,551669000000,54761000000,9702000000,12130000000,2864000000,22636000000,533792000000,130128000000,203410000000.0,350390000000,204149000000,146241000000,5139000000,3695000000,2428000000.0,18364000000,22754000000,368233000000,68911000000,29640000000.0,12938000000.0,11838000000,4000000,258852000000,1872000000,161109000000,11672000000,,161113000000,6124000000,29421000000,184221000000,13085000000,57936000000,7621000000,7313000000,USD,11943000000,1445000000.0,,-1293000000,3206000000,6961000000,3792000000,-309000000,,2704000000,-3688000000,-2742000000,-2456000000,2008000000,2008000000,,3726000000,3726000000,,,2005000000,1164000000.0,-343000000,55000000,2704000000.0,,2394000000,2019-12-31,-0.9969689688427892,-1.683676565689702,-1.859918833935266,-1.683676565689702,-1.859918833935266,-0.41840127242849795,-1.199550430858416,-0.7288697245669434,-1.0785599821468976,-0.5215413816111534
T,2019-09-30,USD,26333000000,44588000000,18255000000,20154000000,7901000000,9584000000,,9651000000,,-2083000000,2067000000.0,2083000000,74000000.0,-935000000,,67000000,4637000000,937000000,2083000000,3949000000,2548000000,6720000000,6787000000,3700000000,USD,548796000000,50695000000,6588000000,6588000000,-2000000,22921000000,446605000000,131316000000,205924000000.0,264192000000,118086000000,146106000000,5517000000,4137000000,102000000.0,19693000000,22304000000,306233000000,68126000000,,12796000000.0,11608000000,2443000000,206269000000,1823000000,153568000000,11608000000,,2443000000,6097000000,29848000000,183049000000,11195000000,59347000000,7621000000,7327000000,USD,11389000000,874000000.0,,823000000,4952000000,6949000000,5301000000,1081000000,,3949000000,-5703000000,-7558000000,-750000000,169000000,169000000,,3726000000,3726000000,,,5004000000,0.0,-48000000,121000000,10898000000.0,,3700000000,2019-09-30,-1.0676814794649674,-1.815226064741132,-1.8744942255498058,-1.815226064741132,-1.8744942255498058,-0.1872985313110278,-1.2206809635633327,-1.0293118389179676,-1.1749446450739878,-0.5215413816111534
